,0
2390,4.1451056918391756e-07
2400,4.108920167674564e-07
2410,4.155647836914387e-07
2420,4.111632934261462e-07
2430,4.1029015360591075e-07
2440,4.057601963450987e-07
2450,4.0184058939435024e-07
2460,4.0056966786627595e-07
2470,3.9597176026265845e-07
2480,3.916989293194131e-07
2490,3.8755694174248667e-07
2500,3.8340291557649956e-07
2510,3.794008149762657e-07
2520,3.7658864143873073e-07
2530,3.7517793707762044e-07
2540,3.7127085803576496e-07
2550,3.671621406006325e-07
2560,3.6426441375949074e-07
2570,3.6041910246919687e-07
2580,3.5649986076765957e-07
2590,3.5354682166292255e-07
2600,3.4975622724358434e-07
2610,3.4612676204476505e-07
2620,3.424176029142305e-07
2630,3.411014070129071e-07
2640,3.3760975190232886e-07
2650,3.3419158597208686e-07
2660,3.306785565762438e-07
2670,3.2727039336679384e-07
2680,3.2416418015847185e-07
2690,3.20890497301435e-07
2700,3.176000220740284e-07
2710,3.1449144317012985e-07
2720,3.1158781289856633e-07
2730,3.090623143244094e-07
2740,3.1065155366955574e-07
2750,3.090099362107841e-07
2760,3.07293553767165e-07
2770,3.0444894068707657e-07
2780,3.0179902495388003e-07
2790,2.9872632851473795e-07
2800,3.001822706697112e-07
2810,2.992220807557483e-07
2820,2.9665473308258393e-07
2830,2.959396725744069e-07
2840,2.9448285793567263e-07
2850,2.9933329729329973e-07
2860,2.9643275858029096e-07
2870,2.936580491592513e-07
2880,2.949746476409432e-07
2890,2.923780449053735e-07
2900,2.9122433242914863e-07
2910,2.9044436167423334e-07
2920,2.88692180667267e-07
2930,2.858949729282106e-07
2940,2.8462678304642233e-07
2950,2.819654817584684e-07
2960,2.7942339276890566e-07
2970,2.768636245024532e-07
2980,2.7466993851990437e-07
2990,2.750437471063581e-07
3000,2.7398678288067684e-07
3010,2.7157321326299076e-07
3020,2.6907453855057466e-07
3030,2.669512754205776e-07
3040,2.6528265809769684e-07
3050,2.629005137503823e-07
3060,2.630830622660213e-07
3070,2.607524048049129e-07
3080,2.5847444456009835e-07
3090,2.562390830360188e-07
3100,2.5596577207418224e-07
3110,2.5378893707097703e-07
3120,2.5169929318326404e-07
3130,2.495953353596993e-07
3140,2.483236366129701e-07
3150,2.476485200203612e-07
3160,2.456380890998541e-07
3170,2.446793871516953e-07
3180,2.4262356322671143e-07
3190,2.412609730417552e-07
3200,2.3957961243296454e-07
3210,2.3753366044900573e-07
3220,2.366425913910309e-07
3230,2.3458191673619526e-07
3240,2.3292943147689205e-07
3250,2.3095023838714586e-07
3260,2.305806095884055e-07
3270,2.2899425572731968e-07
3280,2.2728446346417657e-07
3290,2.2550814271480064e-07
3300,2.239982097713395e-07
3310,2.2221545015090723e-07
3320,2.2058684477960677e-07
3330,2.198393505428923e-07
3340,2.1800644301900765e-07
3350,2.1644813742914382e-07
3360,2.1470041815876044e-07
3370,2.1295212124466317e-07
3380,2.1145074866810792e-07
3390,2.0970446885164897e-07
3400,2.0935507943065834e-07
3410,2.07642563251644e-07
3420,2.0598236927806558e-07
3430,2.0441647843530877e-07
3440,2.0284932666995672e-07
3450,2.0274126047987873e-07
3460,2.0129639031050652e-07
3470,1.9962655904699165e-07
3480,1.981493581161095e-07
3490,1.9723062220408817e-07
3500,1.9577025118357247e-07
3510,1.9452536644562515e-07
3520,1.9297034599978684e-07
3530,1.9143596600675207e-07
3540,1.8992849719382717e-07
3550,1.8843548320869014e-07
3560,1.8704036335166125e-07
3570,1.8591933589482274e-07
3580,1.8543310445729008e-07
3590,1.8396537338970225e-07
3600,1.8288150929635907e-07
3610,1.8194224970636047e-07
3620,1.8070010570513162e-07
3630,1.7966616994347622e-07
3640,1.7835398380228293e-07
3650,1.7713683727724375e-07
3660,1.765284723021017e-07
3670,1.75234885815157e-07
3680,1.739569389379641e-07
3690,1.730896973682364e-07
3700,1.7177287719539352e-07
3710,1.72064195742546e-07
3720,1.7098351191991462e-07
3730,1.699575349732877e-07
3740,1.6880782579821112e-07
3750,1.686352724032642e-07
3760,1.6764226870505702e-07
3770,1.6652359667643766e-07
3780,1.6530155870160485e-07
3790,1.64095852038157e-07
3800,1.632902811918234e-07
3810,1.6210869798020585e-07
3820,1.6109853322006933e-07
3830,1.6002721135715812e-07
3840,1.590236898253323e-07
3850,1.5816287927589686e-07
3860,1.570443977448927e-07
3870,1.559365235748949e-07
3880,1.5493448322187245e-07
3890,1.537928383917884e-07
3900,1.5276018964481113e-07
3910,1.5188313164910709e-07
3920,1.508437842728001e-07
3930,1.5012179350740372e-07
3940,1.490748257524572e-07
3950,1.4801442383094577e-07
3960,1.4700351781141471e-07
3970,1.465047111028166e-07
3980,1.4549828234494386e-07
3990,1.4498259709255316e-07
4000,1.4439156961269632e-07
4010,1.4375729470734725e-07
4020,1.427991304526174e-07
4030,1.422919821826125e-07
4040,1.4133560491820903e-07
4050,1.4081956049824432e-07
4060,1.3986795609101315e-07
4070,1.3894736541263012e-07
4080,1.3808982544071393e-07
4090,1.3775582317381209e-07
4100,1.3699203395812307e-07
4110,1.3607816515560869e-07
4120,1.3871077313568107e-07
4130,1.3774386848790653e-07
4140,1.3696139111512876e-07
4150,1.360952608119457e-07
4160,1.352139711878084e-07
4170,1.3440026475393518e-07
4180,1.3364211973833303e-07
4190,1.3383515680903496e-07
4200,1.329557246795099e-07
4210,1.3207456092307902e-07
4220,1.3120258821210785e-07
4230,1.3047510040571812e-07
4240,1.2977682410400393e-07
4250,1.293391323970676e-07
4260,1.2920224130991935e-07
4270,1.2859308884846276e-07
4280,1.2777373047261428e-07
4290,1.2699641858127672e-07
4300,1.2618414034507274e-07
4310,1.2550036767383333e-07
4320,1.2473397112686133e-07
4330,1.240190913679119e-07
4340,1.232821152933215e-07
4350,1.2269531378325883e-07
4360,1.219319160925602e-07
4370,1.2116627422175482e-07
4380,1.2051222645159253e-07
4390,1.2067950335269405e-07
4400,1.2016392597680492e-07
4410,1.1962192259351376e-07
4420,1.1921525208274653e-07
4430,1.1990910332179223e-07
4440,1.2022546651611822e-07
4450,1.194838992131696e-07
4460,1.1911769628124422e-07
4470,1.1915032947928337e-07
4480,1.2003772659694082e-07
4490,1.1932194997865434e-07
4500,1.1857445374172853e-07
4510,1.1790224028810942e-07
4520,1.1731810659937315e-07
